,ticketid,subject,description,status_idup,priority_idup,user_id,created_at,Category,application_name,assigned_to,Resolution_notes,Resolution_code,resolved_date,resolution_notes_ITSM,resolved_by
653,654,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,4,3,17-12-2022 12:45,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
654,655,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,4,3,13-12-2022 11:15,Page_not_load,Hr_tool,,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
655,656,Want to reset the password for outlook,hi I want to reset my outlook password.,4,4,4,14-12-2022 11:15,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
656,657,Want to reset the password for outlook,hi I want to reset my outlook password.,4,4,4,15-12-2022 00:00,Login,Outlook,,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
657,658,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,4,5,16-12-2022 00:00,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
658,659,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,4,5,17-12-2022 12:45,Finance,SAP,,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
659,660,sap crashing,sap crashing ,1,4,1,13-12-2022 11:15,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,16.0,15-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
660,661,Not able to access ERP,Not able to access ERP,1,4,1,14-12-2022 11:15,Access,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,17.0,16-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
661,662,Sap password reset,Forgot sap password need reset,1,4,1,15-12-2022 00:00,Login,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,18.0,17-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
662,663,Windows account locked,windows account locked need urgently,1,4,2,16-12-2022 00:00,Login,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,19.0,18-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
663,664,sap crashing,sap crashing,1,4,2,17-12-2022 12:45,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,20.0,19-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
664,665,windows updated some features not working,Windows update done and now some features are not working,5,4,6,13-12-2022 11:15,Configuration,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,21.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
665,666,Laptop battery,Laptop battery draining,1,4,2,14-12-2022 11:15,Hardware,Hardware,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,22.0,05-12-2022 13:29,give laptop,
666,667,erp crash,erp crash,5,4,1,15-12-2022 00:00,Crash,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,23.0,07-12-2022 01:40,,
667,668,outlook crashing,outlook crashing,3,4,6,16-12-2022 00:00,Crash,Outlook,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,24.0,07-12-2022 22:48,Check the server connection.,raghav_it
668,669,reset password,I forgot my sap account password.Want to reset it.,3,4,1,17-12-2022 12:45,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,25.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
669,670,visual studio code,visual studio code licence expired,3,4,2,13-12-2022 11:15,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,26.0,07-12-2022 00:55,Renew license,
670,671,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,4,3,14-12-2022 11:15,Access,Powerpoint,raghav_it,Check recycle bin.,27.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
671,672,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,4,4,15-12-2022 00:00,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",28.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
672,673,login issue,Unable to login as it shows incorrect login details,2,4,5,16-12-2022 00:00,Login,ERP,arjun,Check your username and password input. Check if caps is on.,29.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
673,674,outlook,outlook frozen,3,4,6,17-12-2022 12:45,Crash,Outlook,shubhangi,Restart your outlook,30.0,07-12-2022 22:25,Check the server connection.,aditya
674,675,cant log in to vpn,cant log in to vpn,2,4,7,13-12-2022 11:15,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
675,676,unable to access hr_tool page,unable to access hr_tool page,3,4,1,14-12-2022 11:15,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
676,677,skype error ,skype crashing,2,4,2,15-12-2022 00:00,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
677,678,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,4,4,16-12-2022 00:00,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
678,679,unable to disable add ins on outlook,unable to disable add ins on outlook,4,4,5,17-12-2022 12:45,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,35.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
679,680,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,4,6,13-12-2022 11:15,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",36.0,07-12-2022 17:09,Restart the server,aditya
680,681,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,4,3,14-12-2022 11:15,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,37.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
681,682,Want to reset the password for outlook,hi I want to reset my outlook password.,4,4,4,15-12-2022 00:00,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",38.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
682,683,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,4,5,16-12-2022 00:00,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,39.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
683,684,sap crashing,sap crashing ,1,4,1,17-12-2022 12:45,Crash,SAP,raghav_it,,40.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
684,685,Not able to access ERP,Not able to access ERP,1,4,1,13-12-2022 11:15,Access,ERP,raghav_it,,41.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
685,686,Sap password reset,Forgot sap password need reset,1,4,1,14-12-2022 11:15,Login,SAP,raghav_it,,42.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
686,687,Windows account locked,windows account locked need urgently,1,4,2,15-12-2022 00:00,Login,Windows,raghav_it,,43.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
687,688,sap crashing,sap crashing,1,4,2,16-12-2022 00:00,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
797,798,outlook,outlook frozen,3,4,6,13-11-2022 11:15,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
798,799,cant log in to vpn,cant log in to vpn,2,4,7,24-11-2022 11:15,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
799,800,unable to access hr_tool page,unable to access hr_tool page,3,4,1,18-11-2022 01:30,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
800,801,skype error ,skype crashing,2,4,2,19-11-2022 01:30,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
801,802,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,4,4,20-11-2022 01:30,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
802,803,unable to disable add ins on outlook,unable to disable add ins on outlook,4,4,5,21-11-2022 01:30,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
803,804,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,4,6,22-11-2022 01:30,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
804,805,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,4,3,23-11-2022 01:30,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
805,806,Want to reset the password for outlook,hi I want to reset my outlook password.,4,4,4,05-11-2022 00:00,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
806,807,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,4,5,05-11-2022 12:45,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
807,808,sap crashing,sap crashing ,1,4,1,15-11-2022 00:00,Crash,SAP,,,,,,
808,809,sap crashing,sap crashing ,1,4,1,16-11-2022 00:00,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,16.0,15-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
809,810,Not able to access ERP,Not able to access ERP,1,4,1,17-11-2022 12:45,Access,ERP,,,,,,
1013,960,sap crashing,sap crashing,1,4,2,22-10-2022 00:45,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
1108,1055,sap crashing,sap crashing,1,4,2,25-01-2023 00:45,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
1203,1150,sap crashing,sap crashing,1,4,2,23-01-2023 16:36,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
1268,1215,sap crashing,sap crashing,1,4,2,23-02-2023 00:00,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
1363,1310,sap crashing,sap crashing,1,4,2,27-02-2023 00:45,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
1458,1405,sap crashing,sap crashing,1,4,2,23-02-2023 16:36,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
