,ticketid,subject,description,status_idup,priority_idup,user_id,created_at,Category,application_name,assigned_to,Resolution_notes,Resolution_code,resolved_date,resolution_notes_ITSM,resolved_by
70,71.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,07-12-2022 11:15,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
71,72.0,skype error ,skype crashing,2,2,2,08-12-2022 11:15,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
72,73.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,2,4,21-01-2022 11:15,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
73,74.0,unable to disable add ins on outlook,unable to disable add ins on outlook,4,2,5,22-01-2022 11:15,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
74,75.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,14-03-2022 20:30,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
75,76.0,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,2,3,15-03-2022 20:30,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
76,77.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,16-03-2022 20:30,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
77,78.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,17-03-2022 20:30,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
90,91.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,24-02-2022 16:36,Configuration,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,21.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
92,93.0,erp crash,erp crash,5,2,1,07-12-2022 01:32,Crash,ERP,raghav_it,,,07-12-2022 01:40,,
93,94.0,erp crash,erp crash,5,2,1,26-02-2022 16:36,Crash,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,23.0,07-12-2022 01:40,,
94,95.0,outlook crashing,outlook crashing,3,2,6,07-12-2022 22:24,Crash,Outlook,raghav_it,,,07-12-2022 22:48,Check the server connection.,raghav_it
95,96.0,outlook crashing,outlook crashing,3,2,6,27-02-2022 16:36,Crash,Outlook,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,24.0,07-12-2022 22:48,Check the server connection.,raghav_it
100,101.0,login issue,Unable to login as it shows incorrect login details,2,2,5,11-11-2022 00:00,Login,ERP,arjun,Check your username and password input. Check if caps is on.,29.0,14-10-2022 15:11,The management will provide you with new username and password as the prevous one is expired,
103,104.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,09-11-2022 00:00,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
104,105.0,skype error ,skype crashing,2,2,2,10-11-2022 00:00,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
107,108.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,13-11-2022 00:00,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",36.0,07-12-2022 17:09,Restart the server,aditya
109,110.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,15-11-2022 00:00,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",38.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
110,111.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,16-11-2022 00:00,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,39.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
111,112.0,sap crashing,sap crashing ,1,2,1,17-11-2022 00:00,Crash,SAP,raghav_it,,40.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
112,113.0,Not able to access ERP,Not able to access ERP,1,2,1,18-11-2022 00:00,Access,ERP,raghav_it,,41.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
116,117.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,22-11-2022 00:00,Configuration,Windows,raghav_it,,45.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
118,119.0,erp crash,erp crash,5,2,1,24-06-2022 00:00,Crash,ERP,raghav_it,,47.0,07-12-2022 01:40,,
119,120.0,outlook crashing,outlook crashing,3,2,6,25-06-2022 00:00,Crash,Outlook,raghav_it,,48.0,07-12-2022 22:48,Check the server connection.,raghav_it
124,125.0,login issue,Unable to login as it shows incorrect login details,2,2,5,16-05-2022 11:15,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
127,128.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,14-08-2022 16:15,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
128,129.0,skype error ,skype crashing,2,2,2,15-08-2022 16:15,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
131,132.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,18-08-2022 16:15,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
133,134.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,20-08-2022 16:15,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
134,135.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,21-08-2022 16:15,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
135,136.0,sap crashing,sap crashing ,1,2,1,11-07-2022 19:09,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,16.0,15-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
136,137.0,Not able to access ERP,Not able to access ERP,1,2,1,12-07-2022 19:09,Access,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,17.0,16-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
140,141.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,16-07-2022 19:09,Configuration,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,21.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
142,143.0,erp crash,erp crash,5,2,1,18-07-2022 19:09,Crash,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,23.0,07-12-2022 01:40,,
143,144.0,outlook crashing,outlook crashing,3,2,6,19-07-2022 19:09,Crash,Outlook,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,24.0,07-12-2022 22:48,Check the server connection.,raghav_it
148,149.0,login issue,Unable to login as it shows incorrect login details,2,2,5,14-10-2022 14:15,Login,ERP,arjun,Check your username and password input. Check if caps is on.,29.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
151,152.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,16-09-2022 15:00,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
152,153.0,skype error ,skype crashing,2,2,2,17-09-2022 15:00,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
155,156.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,20-09-2022 15:00,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",36.0,07-12-2022 17:09,Restart the server,aditya
157,158.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,14-10-2022 20:40,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",38.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
158,159.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,14-10-2022 20:40,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,39.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
159,160.0,sap crashing,sap crashing ,1,2,1,15-11-2022 19:09,Crash,SAP,raghav_it,,40.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
160,161.0,Not able to access ERP,Not able to access ERP,1,2,1,12-11-2022 13:23,Access,ERP,raghav_it,,41.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
164,165.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,28-11-2022 16:23,Configuration,Windows,raghav_it,,45.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
166,167.0,erp crash,erp crash,5,2,1,07-12-2022 01:32,Crash,ERP,raghav_it,,47.0,07-12-2022 01:40,,
167,168.0,outlook crashing,outlook crashing,3,2,6,07-12-2022 22:24,Crash,Outlook,raghav_it,,48.0,07-12-2022 22:48,Check the server connection.,raghav_it
168,169.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,28-11-2022 16:23,Configuration,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,21.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
170,171.0,erp crash,erp crash,5,2,1,07-12-2022 01:32,Crash,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,23.0,07-12-2022 01:40,,
171,172.0,outlook crashing,outlook crashing,3,2,6,07-12-2022 22:24,Crash,Outlook,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,24.0,07-12-2022 22:48,Check the server connection.,raghav_it
176,177.0,login issue,Unable to login as it shows incorrect login details,2,2,5,15-10-2022 00:00,Login,ERP,arjun,Check your username and password input. Check if caps is on.,29.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
179,180.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,18-10-2022 00:00,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
180,181.0,skype error ,skype crashing,2,2,2,19-10-2022 00:00,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
183,184.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,22-10-2022 00:00,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",36.0,07-12-2022 17:09,Restart the server,aditya
185,186.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,24-10-2022 00:00,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",38.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
186,187.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,25-10-2022 20:40,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,39.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
187,188.0,sap crashing,sap crashing ,1,2,1,27-10-2022 17:20,Crash,SAP,raghav_it,,40.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
188,189.0,Not able to access ERP,Not able to access ERP,1,2,1,29-10-2022 14:00,Access,ERP,raghav_it,,41.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
192,193.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,06-11-2022 00:40,Configuration,Windows,raghav_it,,45.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
194,195.0,erp crash,erp crash,5,2,1,09-11-2022 18:00,Crash,ERP,raghav_it,,47.0,07-12-2022 01:40,,
195,196.0,outlook crashing,outlook crashing,3,2,6,11-11-2022 14:40,Crash,Outlook,raghav_it,,48.0,07-12-2022 22:48,Check the server connection.,raghav_it
200,201.0,login issue,Unable to login as it shows incorrect login details,2,2,5,16-01-2022 11:15,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
203,204.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,19-01-2022 11:15,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
204,205.0,skype error ,skype crashing,2,2,2,20-01-2022 11:15,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
207,208.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,14-03-2022 20:30,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
209,210.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,16-03-2022 20:30,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
210,211.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,17-03-2022 20:30,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
211,212.0,sap crashing,sap crashing ,1,2,1,18-03-2022 20:30,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,16.0,15-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
212,213.0,Not able to access ERP,Not able to access ERP,1,2,1,19-03-2022 20:30,Access,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,17.0,16-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
216,217.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,24-02-2022 16:36,Configuration,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,21.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
218,219.0,erp crash,erp crash,5,2,1,26-02-2022 16:36,Crash,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,23.0,07-12-2022 01:40,,
219,220.0,outlook crashing,outlook crashing,3,2,6,27-02-2022 16:36,Crash,Outlook,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,24.0,07-12-2022 22:48,Check the server connection.,raghav_it
224,225.0,login issue,Unable to login as it shows incorrect login details,2,2,5,06-06-2022 00:00,Login,ERP,arjun,Check your username and password input. Check if caps is on.,29.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
227,228.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,09-06-2022 00:00,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
228,229.0,skype error ,skype crashing,2,2,2,10-06-2022 00:00,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
231,232.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,13-06-2022 00:00,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",36.0,07-12-2022 17:09,Restart the server,aditya
233,234.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,15-06-2022 00:00,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",38.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
234,235.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,16-06-2022 00:00,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,39.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
235,236.0,sap crashing,sap crashing ,1,2,1,17-06-2022 00:00,Crash,SAP,raghav_it,,40.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
236,237.0,Not able to access ERP,Not able to access ERP,1,2,1,18-06-2022 00:00,Access,ERP,raghav_it,,41.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
240,241.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,22-06-2022 00:00,Configuration,Windows,raghav_it,,45.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
242,243.0,erp crash,erp crash,5,2,1,24-06-2022 00:00,Crash,ERP,raghav_it,,47.0,07-12-2022 01:40,,
243,244.0,outlook crashing,outlook crashing,3,2,6,25-06-2022 00:00,Crash,Outlook,raghav_it,,48.0,07-12-2022 22:48,Check the server connection.,raghav_it
248,249.0,login issue,Unable to login as it shows incorrect login details,2,2,5,16-05-2022 11:15,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
251,252.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,14-08-2022 16:15,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
252,253.0,skype error ,skype crashing,2,2,2,15-08-2022 16:15,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
