kdbid,description,Category,application_name,Resolution
64,skype account locked,Login,Skype,Go to admin settings and unlock the user
127,skype crashing,Crash,Skype,Server changed. Restart the server
128,I forgot my sap account password.Want to reset it.,Login,SAP,Give admin access
130,I deleted ppt accidentally which is very imporant,Access,Powerpoint,Go to cloud admin settings and look for backup there the file is available
136,erp crash,Crash,ERP,ERP code changes done
138,unable to access hr_tool page,Login,Hr_tool,Server restart needed
140,outlook frozen,Crash,Outlook,Outlook updated
143,outlook crashing,Crash,Outlook,Code changes done
144,Sap crashing on login,Crash,SAP,Sap code changes done and upgraded to new version
146,Outlook not loading on login,Page_not_loading,Outlook,Outlook updated
147,cant log in to vpn,Login,VPN,Restart vpn server
148,Unable to login as it shows incorrect login details,Login,ERP,Give admin access to user
149,Laptop Battery draining ,Hardware,Hardware,Change battery
150,cant log in to vpn,Login,VPN,Code changes done
151,Laptop Battery draining ,Hardware,Hardware,Updated laptop and cleared virus
153,Battery draining,Hardware,Hardware,Device to be submitted at helpdesk
155,Outlook not loading on login,Page_not_loading,Outlook,Code changes done . Updated outlook
157,erp crash,Crash,ERP,Erp code  changes done
158,cant log in to vpn,Login,VPN,Server restarted
159,Unable to login as it shows incorrect login details,Login,ERP,Take admin access and reset password
160,PowerBi crashing on login,Crash,PowerBi,Code changes done . Update PowerBi.
161,PowerBi crashing on login,Crash,PowerBi,PowerBi server restarted
162,skype setting not matching current project setting ,Configuration,Skype,Go to settings ->Configuration->Change security settings from high to medium
163,Printer not connecting to laptop,Hardware,Hardware,Try checking printer settings and make it access laptop Bluetooth.
164,skype crashing,Crash,Skype,Restarted skype server
165,skype crashing,Crash,Skype,Updated Skype
166,Unable to login in PowerBi,Login,PowerBi,PowerBi Reinstalled
167,unable to access ess,Access,Ess,Ess application updated and given access
169,Erp Backup needed,Backup,ERP,Go to admin settings . In file tab go to backup and enter user id for backup.
170,"Excel hangs or freezes when you launch it, or open an Excel workbook",Crash,Excel,Code changes done . 
171,"Excel hangs or freezes when you launch it, or open an Excel workbook",Crash,Excel,Update excel
172,Erp login not working,Login,ERP,Erp server restarted
173,Not able to generate powerbi report,Report,PowerBi,Go to file tab and select generate report . Enable report in pdf
174,Not able to generate powerbi report,Report,PowerBi,Go to remote update and update powerbi report module.
175,Unable to access colaboration tool,Access,Colaboration,Go to admin settings tab -> Go to Collaboration tool -> Set access for that user
176,Ticket application not loading,Page_not_loading,Other,Updated Ticket application
177,SAP page not loading ,Page_not_loading,SAP,Sap updated
178,Access page not loading,Page_not_loading,Access,Reinstall Access 
179,Unable to login in PowerBi,Login,PowerBi,Go to admin settings and allow specific user
180,Network is not proper,Hardware,VPN,Server restarted
181,Windows update done and now some features are not working,Configuration,Windows,Windows reinstalled properly
182,PowerBi login not working,Login,PowerBi,Server changes done powerbi updated
183,Hr_tool not responding,Page_not_loading,Hr_tool,Restart the hr_tool server after updating it in users system
